"query","search interest","increase percent"
"home workout for men",100,"10%"
"workout at home for men",44,"30%"
"home workout equipment",23,"10%"
"full body workout at home",7,"160%"
"full body workout at home for men",5,"-7%"
"home workout routine for men",4,"Breakout"
