"query","search interest","increase percent"
"home workout routine for men",4,"Breakout"
"full body workout at home",7,"160%"
"workout at home for men",44,"30%"
"home workout equipment",23,"10%"
"home workout for men",100,"10%"
"full body workout at home for men",5,"-7%"
